OBJECTID;ACC_ID;ACC_ESTAT;ACC_CODI_NAT;ACC_GRAVETAT;ACC_DATA;ACC_HORA;ACC_DEMARCACIO;ACC_ZONA;ACC_CARRETERA;ACC_PK;ACC_POS_;ACC_MUNICIPI;ACC_NOM_CARRER;ACC_NUM_PORTAL;ACC_NOM_CARRER2;ACC_PK_;ACC_OFFSET_;ACC_X_;ACC_Y_;ACC_SCORE_;ACC_ADREÇA_NORMALITZADA_;ACC_CARRETERA_;ACC_PKFORMAT_;ACC_NOM_DIA_ACC;ACC_TIPUS_DIA_ACC;ACC_NUM_MORTS;ACC_NUM_MORTS_30DIES;ACC_NUM_VICTIMES_GREUS;ACC_NUM_VICTIMES_LLEUS;ACC_NUM_ILLESOS;ACC_NUM_UNITATS_IMPLI;ACC_TIPUS;ACC_TIPUS_VIA;ACC_NUM_PERS_IMPLI;ACC_ANY;ACC_DIASET;ACC_SUBZONA;ACC_TIPUS_POSICIONAMENT_;ACC_SUBTIPUS_ACCIDENT;ACC_NUM_VICTIMES;ACC_DEMARCACIO_ID;ACC_COMARCA_ID;ACC_COMARCA;ACC_SUPERFICIE;ACC_LLUMINOSITAT;ACC_BOIRA;ACC_VISIBILITAT;ACC_CIRCULACIO;ACC_CIRCULACIO_MESURES_ESP;ACC_AMB_FUGA;ACC_VENT;ACC_INFLUIT_CARACT_ENTORN;ACC_INFLUIT_FERM_CALCADA;ACC_INFLUIT_SOLCS_RASES;ACC_INFLUIT_OBJ_CALCADA;ACC_INFLUIT_LLUMINOSITAT;ACC_CLIMATOLOGIA;ACC_INFLUIT_ESTAT_CLIMA;ACC_INFLUIT_BOIRA;ACC_INFLUIT_VISIBILITAT;ACC_INFLUIT_CIRCULACIO;ACC_INFLUIT_MESU_ESP;ACC_POSICIO_VEHICLES_VIA;ACC_POSICIO_VEHICLES_CALCADA;ACC_POSICIO_VEHICLES_CARRIL;ACC_SENTIT_VEHICLES;ACC_COORD_GEO_IMPACTE;ACC_COORD_GEO_IMPACTE_X_;ACC_COORD_GEO_IMPACTE_Y_;ACC_CORRECCIO_MANUAL_DIBA_;ACC_INFORME_SIDAT;SHAPE;x;y
1;2023024270;Accidents tancats;002384/23/ARTMNORD;Accident lleu;de juliol 15, 2023;14.26;Barcelona;Carretera;BV-5128;27;26959;SANT POL DE MAR;0;;99;27;1;467052;4606472;;;BV-5128;27+1;CapDeSetmana;dis;0;0;0;6;2;2;Col.lisió de vehicles en marxa;Carretera convencional;8;2023;6;Carretera;Per Coordenades;Col·lisió frontal;6;8;21;Maresme;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0467052.13,4606472.41;467052;4606472;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023024270"" target=""_blank"">Informe SIDAT</a>";;467052;4606472
2;2023018225;Accidents tancats;001699/23/ARTMNORD;Accident lleu;de maig 20, 2023;10.43;Barcelona;Carretera;BV-1248;3.8;3789;SABADELL;0;;99;3;817;422429;4603677;;;BV-1248;3+817;CapDeSetmana;dis;0;0;0;1;0;1;Bolcada a la calcada;Carretera convencional;1;2023;6;Carretera;Per Coordenades;Caiguda en la via;1;8;40;Valles Occidental;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0422429.04,4603677.75;422429;4603677;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023018225"" target=""_blank"">Informe SIDAT</a>";;422429;4603677
3;2023016627;Accidents tancats;001212/23/ARTCENTRAL;Accident lleu;de maig 5, 2023;16.29;Barcelona;Carretera;BP-1101;11.7;11604;SANT SALVADOR DE GUARDIA;0;;99;11;681;398937;4615471;;;BP-1101;11+681;CapDeSetmana;div;0;0;0;1;1;2;Col.lisió de vehicles en marxa;Carretera convencional;2;2023;5;Carretera;Per Coordenades;Encalç;1;8;7;Bages;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0398937.09,4615471.94;398937;4615471;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023016627"" target=""_blank"">Informe SIDAT</a>";;398937;4615471
4;2023033484;Accidents tancats;002824/23/ARTMETROPO;Accident lleu;d’octubre 13, 2023;12.59;Barcelona;Carretera;BV-2415;3.3;3383;OLERDOLA;0;;99;3;283;395958;4576220;;;BV-2415;3+283;Feiners;div;0;0;0;1;0;1;Bolcada a la calcada;Carretera convencional;1;2023;5;Carretera;Per Coordenades;Caiguda en la via;1;8;3;Alt Penedes;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0395958.79,4576220.91;395958;4576220;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023033484"" target=""_blank"">Informe SIDAT</a>";;395958;4576220
5;2023018370;Accidents tancats;001287/23/ARTCENTRAL;Accident lleu;de maig 13, 2023;1.54;Barcelona;Carretera;BV-2131;0.5;490;POBLA DE CLARAMUNT,LA;0;;99;0;475;388641;4600377;;;BV-2131;0+475;CapDeSetmana;dis;0;0;0;2;4;3;Col.lisió de vehicles en marxa;Carretera convencional;6;2023;6;Carretera;Per Coordenades;Envestida (frontal lateral);2;8;6;Anoia;Sec i net;De nit, sense llum artificial;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0388641.96,4600377.00;388641;4600377;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023018370"" target=""_blank"">Informe SIDAT</a>";;388641;4600377
6;2023025824;Accidents tancats;002172/23/ARTCENTRAL;Accident lleu;d’agost 5, 2023;14.46;Barcelona;Carretera;BV-4401;17.5;17339;PRATS DE LLUCANES;0;;99;17;469;416965;4648555;;;BV-4401;17+469;CapDeSetmana;dis;0;0;0;1;0;1;Sortida de la calcada sense especificar;Carretera convencional;1;2023;6;Carretera;Per Coordenades;Resta sortides de via;1;8;24;Osona;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0416965.37,4648555.86;416965;4648555;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023025824"" target=""_blank"">Informe SIDAT</a>";;416965;4648555
7;2023028105;Accidents tancats;002295/23/ARTCENTRAL;Accident lleu;d’agost 19, 2023;18.05;Barcelona;Carretera;BV-1310;2.9;2899;CASTELLCIR;0;;99;2;900;429234;4624176;;;BV-1310;2+900;CapDeSetmana;dis;0;0;0;1;1;2;Col.lisió de vehicles en marxa;Carretera convencional;2;2023;6;Carretera;Per Coordenades;Envestida (frontal lateral);1;8;42;Moianes;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0429234.20,4624176.73;429234;4624176;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023028105"" target=""_blank"">Informe SIDAT</a>";;429234;4624176
8;2023016283;Accidents tancats;001233/23/ARTMETROPO;Accident lleu;de maig 2, 2023;18.11;Barcelona;Carretera;BV-2113;2.4;2355;SANT PERE DE RIBES;0;;99;2;324;396540;4566451;;;BV-2113;2+324;Feiners;dill-dij;0;0;0;2;5;3;Col.lisió de vehicles en marxa;Carretera convencional;7;2023;2;Carretera;Per Coordenades;Encalç;2;8;17;Garraf;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;Si;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0396540.72,4566451.89;396540;4566451;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023016283"" target=""_blank"">Informe SIDAT</a>";;396540;4566451
9;2023025397;Accidents tancats;002115/23/ARTCENTRAL;Accident lleu;de juliol 30, 2023;2.39;Barcelona;Carretera;BV-4316;6.1;6108;SANTA EULALIA DE RIU;0;;99;6;97;433023;4640380;;;BV-4316;6+97;CapDeSetmana;dg;0;0;0;1;0;1;Sortida de la calcada sense especificar;Carretera convencional;1;2023;7;Carretera;Per Coordenades;Resta sortides de via;1;8;24;Osona;Sec i net;De nit, sense llum artificial;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0433023.33,4640380.72;433023;4640380;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023025397"" target=""_blank"">Informe SIDAT</a>";;433023;4640380
10;2023031620;Accidents tancats;002617/23/ARTCENTRAL;Accident lleu;de setembre 24, 2023;11.48;Barcelona;Zona urbana;SE;;33821;NAVARCLES;0;;99;34;123;409256;4622533;;;BV-1221;34+123;CapDeSetmana;dg;0;0;0;2;0;1;Sortida de la calcada sense especificar;Via urbana( inclou carrer i carrer residencial);2;2023;7;Zona urbana;Per Coordenades;Resta sortides de via;2;8;7;Bages;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0409256.54,4622533.00;409256;4622533;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023031620"" target=""_blank"">Informe SIDAT</a>";;409256;4622533
11;2023023899;Accidents tancats;001710/23/ARTCENTRAL;Accident lleu;de juny 21, 2023;6;Barcelona;Carretera;BP-1101;11.3;11212;SANT SALVADOR DE GUARDIA;0;;99;11;289;399025;4615099;;;BP-1101;11+289;Feiners;dill-dij;0;0;0;1;0;1;Col.lisió d'un vehicle contra un obstacle de la calcada;Carretera convencional;1;2023;3;Carretera;Per Coordenades;Xoc amb animal a la calçada;1;8;7;Bages;Sec i net;Alba o capvespre;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0399025.09,4615099.94;399025;4615099;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023023899"" target=""_blank"">Informe SIDAT</a>";;399025;4615099
