OBJECTID;Carretera;Tipus;Valor;Observacions;Sentit;Shape.STLength();Shape
12987;BV-1501;Recta;0; ; ;1.236555549535113;
12988;BV-1501;Corba;42.526; ; ;11.232908122729713;
12989;BV-1501;Clotoide;18.521; ; ;10.42567157425636;
12990;BV-1501;Clotoide;18.521; ; ;1.6553875494342432;
12991;BV-1501;Corba;207.209; ; ;34.390844362029966;
12992;BV-1501;Clotoide;164.874; ; ;40.337825713065186;
12993;BV-1501;Corba;299.238; ; ;40.93208221704587;
12994;BV-1501;Clotoide;30.779; ; ;3.1659776639577912;
12995;BV-1501;Clotoide;30.779; ; ;13.061164048028676;
12996;BV-1501;Corba;72.526; ; ;20.49265496469538;
12997;BV-1501;Clotoide;28.186; ; ;10.952911486216852;
12998;BV-1501;Clotoide;28.186; ; ;10.706819490717447;
12999;BV-1501;Corba;74.196; ; ;20.99515622144204;
13000;BV-1501;Clotoide;40.97; ; ;22.620512437428857;
13001;BV-1501;Recta;0; ; ;143.20721920401246;
13002;BV-1501;Clotoide;97.58; ; ;72.38081748206676;
13003;BV-1501;Corba;131.541; ; ;79.77308203654896;
13004;BV-1501;Clotoide;58.26; ; ;25.800960205320187;
13005;BV-1501;Recta;0; ; ;13.409951175387382;
13006;BV-1501;Corba;2001.136; ; ;80.41749053296172;
13007;BV-1501;Recta;0; ; ;8.787999203469896;
13008;BV-1501;Recta;0; ; ;8.541453331934974;
13009;BV-1501;Recta;0; ; ;9.952998993335878;
13010;BV-1501;Recta;0; ; ;6.792966732563097;
13011;BV-1501;Recta;0; ; ;19.21962653949568;
13012;BV-1501;Clotoide;86.646; ; ;59.013172940391186;
13013;BV-1501;Corba;127.207; ; ;115.13767070300817;
13014;BV-1501;Corba;114.968; ; ;19.80882086125702;
13015;BV-1501;Corba;176.623; ; ;50.94461244958259;
13016;BV-1501;Recta;0; ; ;42.1763833090421;
13017;BV-1501;Recta;0; ; ;18.957486973299197;
13018;BV-1501;Clotoide;38.175; ; ;31.71129055729142;
13019;BV-1501;Corba;46.885; ; ;36.604253845464235;
13020;BV-1501;Corba;64.127; ; ;6.970749023081332;
13021;BV-1501;Corba;90.154; ; ;38.46641196035628;
13022;BV-1501;Recta;0; ; ;18.14818305922717;
13023;BV-1501;Corba;171.333; ; ;21.583338911572767;
13024;BV-1501;Corba;75.726; ; ;16.357458302961565;
13025;BV-1501;Recta;0; ; ;5.84850562008159;
13026;BV-1501;Corba;245.746; ; ;26.364651800795237;
13027;BV-1501;Clotoide;27.077; ; ;20.939767268606072;
13028;BV-1501;Corba;30.643; ; ;13.975887468649667;
13029;BV-1501;Clotoide;31.561; ; ;32.503882117736524;
13030;BV-1501;Clotoide;15.781; ; ;4.270696162105686;
