OBJECTID;Carretera;Tipus;Valor;Observacions;Sentit;Shape.STLength();Shape
359;BV-4608;Corba;6.051; ; ;2.1405966748019347;
360;BV-4608;Corba;12.387; ; ;8.125298890180702;
361;BV-4608;Corba;140.324; ; ;23.730287277086205;
362;BV-4608;Recta;0; ; ;106.94411931966846;
363;BV-4608;Clotoide;57.688; ; ;30.217138352825682;
364;BV-4608;Corba;110.132; ; ;46.610057894908856;
365;BV-4608;Recta;0; ; ;109.2678468334037;
366;BV-4608;Corba;103.551; ; ;40.92409005992156;
367;BV-4608;Recta;0; ; ;143.7501716777497;
368;BV-4608;Corba;960.518; ; ;82.24259374957425;
369;BV-4608;Recta;0; ; ;279.9572620415153;
370;BV-4608;Clotoide;78.062; ; ;34.461158644975534;
371;BV-4608;Corba;176.828; ; ;26.514169226189715;
372;BV-4608;Recta;0; ; ;109.16574054301313;
373;BV-4608;Corba;215.66; ; ;38.896717544523455;
374;BV-4608;Recta;0; ; ;118.0562643111829;
375;BV-4608;Clotoide;45.798; ; ;28.94085772667814;
376;BV-4608;Corba;72.472; ; ;35.93093660830069;
377;BV-4608;Clotoide;30.021; ; ;12.43544957520616;
378;BV-4608;Clotoide;30.021; ; ;17.002408773097173;
379;BV-4608;Corba;53.005; ; ;27.004141112153352;
380;BV-4608;Clotoide;37.962; ; ;27.18724813482547;
381;BV-4608;Recta;0; ; ;83.28037069330539;
382;BV-4608;Clotoide;64.458; ; ;38.40946750272316;
383;BV-4608;Corba;108.31; ; ;40.14977394223477;
384;BV-4608;Clotoide;44.021; ; ;17.890942046188066;
385;BV-4608;Clotoide;44.021; ; ;9.979987719800736;
386;BV-4608;Corba;194.17; ; ;101.72025002418366;
387;BV-4608;Corba;185.109; ; ;80.3962338578009;
388;BV-4608;Corba;4206.454; ; ;179.35900195851343;
389;BV-4608;Corba;693833.119; ; ;481.8904491845642;
390;BV-4608;Corba;3360.511; ; ;138.07990520210046;
391;BV-4608;Recta;0; ; ;172.71450411248523;
392;BV-4608;Corba;116.189; ; ;26.938186262360773;
393;BV-4608;Clotoide;63.396; ; ;34.59001027957415;
394;BV-4608;Recta;0; ; ;55.10311038999043;
395;BV-4608;Corba;57.165; ; ;8.08702039211433;
396;BV-4608;Corba;144.817; ; ;13.524700486878343;
397;BV-4608;Corba;1143.967; ; ;48.75062146654194;
398;BV-4608;Recta;0; ; ;98.50944321973148;
399;BV-4608;Corba;101.23; ; ;39.03713156629948;
400;BV-4608;Corba;312.739; ; ;24.126937899936983;
401;BV-4608;Clotoide;36.53; ; ;26.233755021320203;
402;BV-4608;Corba;43.75; ; ;30.376517422971613;
403;BV-4608;Corba;176.381; ; ;27.151508177989022;
404;BV-4608;Corba;98.921; ; ;64.86267882368482;
405;BV-4608;Recta;0; ; ;47.19166110253124;
406;BV-4608;Clotoide;19.37; ; ;12.843497122034302;
407;BV-4608;Corba;29.21; ; ;28.579393262866127;
408;BV-4608;Clotoide;23.096; ; ;18.260885397298367;
409;BV-4608;Recta;0; ; ;48.91311225282769;
410;BV-4608;Clotoide;40.846; ; ;27.05278251883231;
411;BV-4608;Corba;61.669; ; ;18.95569785042555;
412;BV-4608;Recta;0; ; ;49.76574055370369;
413;BV-4608;Corba;44.256; ; ;57.05719008660799;
414;BV-4608;Clotoide;39.645; ; ;35.51362555341237;
415;BV-4608;Recta;0; ; ;62.745567553357404;
416;BV-4608;Corba;53.444; ; ;29.06632502906641;
417;BV-4608;Clotoide;38.691; ; ;28.008663163770315;
418;BV-4608;Recta;0; ; ;178.22829075838686;
419;BV-4608;Corba;167.807; ; ;33.848062721245256;
420;BV-4608;Clotoide;40.769; ; ;9.904655329353762;
421;BV-4608;Clotoide;40.769; ; ;21.07570151877434;
422;BV-4608;Corba;78.861; ; ;39.92482812140243;
423;BV-4608;Recta;0; ; ;93.99737219721308;
424;BV-4608;Corba;108.41; ; ;43.02425841992822;
425;BV-4608;Clotoide;50.079; ; ;30.66613087622193;
426;BV-4608;Corba;46.614; ; ;26.291070336561468;
427;BV-4608;Clotoide;34.637; ; ;25.73591413248743;
