OBJECTID;Carretera;Tipus;Valor;Observacions;Sentit;Shape.STLength();Shape
2213;BP-4654;Recta;0; ; ;16.37271065691208;
2214;BP-4654;Corba;35.818; ; ;22.57199980037871;
2215;BP-4654;Corba;53.262; ; ;12.55969260189088;
2216;BP-4654;Recta;0; ; ;76.81665204085206;
2217;BP-4654;Clotoide;60.31; ; ;40.89659624327669;
2218;BP-4654;Corba;88.937; ; ;61.23724816750298;
2219;BP-4654;Recta;0; ; ;66.97671768756321;
2220;BP-4654;Corba;138.333; ; ;37.134749197881945;
2221;BP-4654;Corba;77.173; ; ;68.3217727906515;
2222;BP-4654;Recta;0; ; ;30.740907730050953;
2223;BP-4654;Clotoide;22.389; ; ;10.794794428499287;
2224;BP-4654;Corba;46.435; ; ;23.850043220125983;
2225;BP-4654;Corba;101.355; ; ;71.4957233459275;
2226;BP-4654;Recta;0; ; ;63.94609611562309;
2227;BP-4654;Clotoide;51.387; ; ;33.27057481132384;
2228;BP-4654;Corba;79.366; ; ;18.028698930195958;
2229;BP-4654;Clotoide;20.834; ; ;5.46891734304185;
2230;BP-4654;Clotoide;104.169; ; ;40.81803651611148;
2231;BP-4654;Corba;265.841; ; ;46.070412566714;
2232;BP-4654;Recta;0; ; ;65.45254919474229;
2233;BP-4654;Corba;76.25; ; ;23.60682742222259;
2234;BP-4654;Clotoide;50.687; ; ;33.692587981699496;
2235;BP-4654;Recta;0; ; ;309.55190784645526;
2236;BP-4654;Corba;390.894; ; ;64.05458347565867;
2237;BP-4654;Corba;257.042; ; ;79.73509321306508;
2238;BP-4654;Recta;0; ; ;217.12199426135314;
2239;BP-4654;Corba;119.309; ; ;38.92596262060431;
2240;BP-4654;Clotoide;75.842; ; ;48.21055250346191;
2241;BP-4654;Recta;0; ; ;63.12725371487431;
2242;BP-4654;Clotoide;48.492; ; ;39.79546770518567;
2243;BP-4654;Corba;60.704; ; ;33.60655066090943;
2244;BP-4654;Recta;0; ; ;113.87651578710548;
2245;BP-4654;Corba;41240.755; ; ;121.67343873257599;
