OBJECTID;N;CAR_CARRETERA;CODI_TRAM;INICI_TRAM;FINAL_TRAM;CAR_DESCR;TRA_ORIGEN;TRA_FINAL;TRA_TIPUS_VIA;TRA_TITULARITAT;TRA_CLASSIFICACIO_FUNC_REAL;TRA_CLASSIFICACIO_TECN_REAL;TRA_REGIM_GESTIO;TRA_SECTOR_CONS;TRA_AMBIT_GEST_PATRIMONIAL;TRA_AMBIT_ORG_AUTORITZADOR;TRA_CARRILS;TRA_COMARCA;TRA_PKI_POS;TRA_PKF_POS;TRA_LONG_APARENT;TRA_LONG_GEOM;TRA_LONG_AMB_BRANCS;TRA_XY_INICIAL;TRA_XY_FINAL;Shape.STLength();Shape
11024;1;B-102;1;0+000;1+235;Accés a Pujalt;N-141a (PQ 16.325);Centre urbà de Pujalt;Troncal;Diputació de Barcelona;Xarxa local;Carretera de calçada única;Directa;Igualada - Manresa;Diputació de Barcelona;Diputació de Barcelona;1+1;Anoia;0;1171;1235;1171;1171;368877 4620347;368781 4619617;1171.3047375535436;
11110;2;B-110;1;0+000;1+130;Antiga carretera del Bruc;N-IIz, al Bruc;Intersecció B-111 i BP-1101, al Bruc;Troncal;Diputació de Barcelona;Xarxa local;Carretera de calçada única;Directa;Igualada - Manresa;Diputació de Barcelona;Diputació de Barcelona;1+1;Anoia;0;1196;1130;1196;1427;396307 4606210;397068 4606145;1196.3448279397128;
10849;3;B-112;1;0+000;6+233;Carretera de Collbató a l'aeri de Montserrat;A-2 (PQ 575.750), a Collbató;C-55 (PQ 11.500), al pont d'accés a l'Estació de l'Aeri;Troncal;Diputació de Barcelona;Xarxa local;Carretera de calçada única;Directa;Martorell;Diputació de Barcelona;Diputació de Barcelona;1+1;Baix Llobregat;0;6012;6233;6012;6275;402558 4601879;404214 4605008;6012.10116537302;
11123;4;B-113;1;0+570;4+135;Carretera de ca n'Astruc;Pont de Ca n'Estruc;Camí asfaltat;Troncal;Diputació de Barcelona;Xarxa local;Carretera de calçada única;Directa;Martorell;Diputació de Barcelona;Diputació de Barcelona;1+1;Baix Llobregat;570;4119;3565;3549;3549;404700 4603009;406515 4602129;3549.421210821825;
11042;5;B-121;1;0+000;0+375;Accés a l'estació d'Olesa de Montserrat;Estació d'Olesa de Montserrat;Intersecció amb la BV-1211;Troncal;Diputació de Barcelona;Xarxa local;Carretera de calçada única;Directa;Martorell;Diputació de Barcelona;Diputació de Barcelona;1+1;Vallès Occidental;0;371;375;371;371;410172 4602142;410069 4602064;371.49455985931723;
10890;6;B-142;1;4+350;9+350;Carretera de Polinyà;Rotonda de la C-155, a Polinyà;C-1413a (PQ 31.260), a les Brugueres, a Sentmenat;Troncal;Diputació de Barcelona;Xarxa local;Carretera de calçada única;Directa;Martorell;Diputació de Barcelona;Diputació de Barcelona;1+1;Vallès Occidental;4350;9350;5000;5000;5029;429569 4601951;427674 4606251;5000.12736534073;
11011;7;B-150;1;0+000;3+842;Carretera de Castellbisbal. Tram sud;Rotonda C-1413a (PQ 4.787);B-151 (continuació), a Castellbisbal;Troncal;Diputació de Barcelona;Xarxa local;Carretera de calçada única;Directa;Martorell;Diputació de Barcelona;Diputació de Barcelona;1+1;Vallès Occidental;0;3759;3842;3759;4282;416463 4589596;415096 4592769;3758.728020872877;
10995;8;B-151;1;3+842;9+055;Carretera de Castellbisbal. Tram nord;B-150 (continuació), a Castellbisbal;C-243c (PQ 7.650 );Troncal;Diputació de Barcelona;Xarxa local;Carretera de calçada única;Directa;Martorell;Diputació de Barcelona;Diputació de Barcelona;1+1;Vallès Occidental;3842;8793;5213;4951;5106;415096 4592769;414705 4597236;4951.010230866607;
10814;9;B-211;1;9+000;10+030;Carretera de Sant Pere de Ribes a Sitges;Rotonda amb C-32 (PQ 28.300) i C-15B, a Sant Pere de Ribes;Límit del TM de Sitges, a l'encreuament amb el carrer d'Esparreguera (Urb. Sta. Bàrbara);Troncal;Diputació de Barcelona;Xarxa local;Carretera de calçada única;Directa;Vilafranca;Diputació de Barcelona;Diputació de Barcelona;1+1;Garraf;9000;10035;1030;1035;1078;398224 4567220;398989 4566567;1035.3621734328872;
10889;11;B-224z;2;16+730;19+510;Travessera de Masquefa;Entrada a la rotonda B-224z/167-R;B-224 (PQ 19.158), a Sant Esteve Sesrovires.;Troncal;Diputació de Barcelona;Xarxa local;Carretera de calçada única;Directa;Vilafranca;Diputació de Barcelona;Diputació de Barcelona;1+1;Anoia;16730;19493;2780;2763;3149;401451 4594919;403493 4594070;2763.4573743381416;
