OBJECTID;Codi estació;Carretera;PKI;PKF;Any IMD;Any càlcul;IMD;% Pesants;% Motos;Dies registrats;Nº lectures;IFA;IMD Feiners;IMD Dissabte;IMD Diumenge;Dia punta;Hora punta;Volum punta;Dia 30;Hora 30;Dia 50;Hora 50;Volum 50;Dia 100;Hora 100;Volum 100;Volum 30;Velocitat mitjana;Percentil 85;Volum pesants C1;Volum pesants C2;Volum motos C1;Volum motos C2;PKI Ref;PKI Offset;PKF Ref;PKF Offset
8000;EA00294;BV-2242;9+000;13+800;2023;2024;2446;3.63;3.14;14;2;100;2521;2232;1749;9/6/2023 2:00 a. m.;8;221;6/15/2023 2:00 a. m.;13;9/7/2023 2:00 a. m.;16;166;9/8/2023 2:00 a. m.;13;143;177;84;100_110;45;43;0;0;9;0;13;800
8001;EA00426;BV-5003;1+490;2+900;2024;2024;4083;3.12;3.56;13;2;100;3935;3996;3890;4/14/2024 2:00 a. m.;16;573;10/29/2024 1:00 a. m.;14;4/17/2024 2:00 a. m.;15;278;4/16/2024 2:00 a. m.;18;247;296;51;50_60;79;48;0;0;1;490;2;900
8002;EA00199;BV-1468;11+721;12+220;2023;2024;938;2.38;18.79;17;2;75;718;866;878;11/6/2023 1:00 a. m.;7;217;11/3/2023 1:00 a. m.;16;11/5/2023 1:00 a. m.;15;91;11/6/2023 1:00 a. m.;13;69;114;41;0_40;13;9;0;0;11;721;12;220
8003;EA00764;C-1415c;1+655;2+800;2023;2024;4535;2.67;5.75;16;2;100;4745;3714;2479;6/3/2023 2:00 a. m.;19;749;6/2/2023 2:00 a. m.;7;5/30/2023 2:00 a. m.;16;338;10/11/2023 2:00 a. m.;9;274;399;47;50_60;72;48;0;0;1;655;2;800
8004;EA00434;BV-5022;0+596;3+600;2024;2024;10476;4.67;5.34;45;6;100;10876;8826;6205;5/9/2024 2:00 a. m.;18;1030;7/8/2024 2:00 a. m.;18;5/11/2024 2:00 a. m.;11;883;5/10/2024 2:00 a. m.;19;832;922;41;0_40;237;251;0;0;0;596;3;600
8005;EA00008;B-150;1+509;2+180;2023;2024;8588;5.38;2.74;13;2;75;9755;5804;3886;10/31/2023 1:00 a. m.;7;873;1/30/2023 1:00 a. m.;18;10/27/2023 2:00 a. m.;13;643;2/1/2023 1:00 a. m.;19;504;727;47;50_60;257;205;0;0;1;509;2;180
8006;EA01478;BV-5207;0+400;1+168;2024;2024;440;3.05;2.18;7;1;50;389;505;565;10/20/2024 2:00 a. m.;17;69;10/16/2024 2:00 a. m.;12;10/21/2024 2:00 a. m.;7;26;10/16/2024 2:00 a. m.;10;14;29;47;50_60;6;7;7;2;0;400;1;168
8007;EA01036;BP-1432;30+180;31+410;2024;2024;6199;2.37;2.96;14;2;100;6780;4889;3315;9/24/2024 2:00 a. m.;17;646;4/5/2024 2:00 a. m.;16;4/5/2024 2:00 a. m.;19;483;4/8/2024 2:00 a. m.;13;403;538;41;0_40;119;28;115;68;30;180;31;410
8008;EA00697;B-224z;17+475;19+510;2024;2024;3529;1.81;1.81;16;2;100;3770;2929;2476;11/29/2024 1:00 a. m.;17;308;3/13/2024 1:00 a. m.;18;11/28/2024 1:00 a. m.;19;254;12/1/2024 1:00 a. m.;13;226;269;59;70_80;19;44;0;0;17;475;19;510
8009;EA00458;BV-5108;0+000;3+265;2023;2024;8296;1.59;1.64;14;2;100;8918;7153;5375;10/11/2023 2:00 a. m.;18;790;2/15/2023 1:00 a. m.;16;2/17/2023 1:00 a. m.;19;605;2/20/2023 1:00 a. m.;14;511;655;68;70_80;73;58;0;0;0;0;3;265
